route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
31671   ,1        ,10              ,VAN HORNE      ,          ,3         ,         ,804000     ,FFFFFF
31672,1,100,FLEMINGDON PARK,,3,,FF00FF,FFFFFF
31673,1,101,DOWNSVIEW PARK,,3,,00FF00,FFFFFF
31674,1,102,MARKHAM RD,,3,,00FF00,FFFFFF
31675,1,103,MT PLEASANT NORTH,,3,,008000,FFFFFF
31676,1,104,FAYWOOD,,3,,800080,FFFFFF
31677,1,105,DUFFERIN NORTH,,3,,804000,FFFFFF
31678,1,106,YORK UNIVERSITY,,3,,00FFFF,FFFFFF
31679,1,107,KEELE NORTH,,3,,FF00FF,FFFFFF
31680,1,108,DOWNSVIEW,,3,,800080,FFFFFF
31681,1,109,RANEE,,3,,008000,FFFFFF
31682,1,11,BAYVIEW,,3,,FF0000,FFFFFF
31683,1,110,ISLINGTON SOUTH,,3,,804000,FFFFFF
31684,1,111,EAST MALL,,3,,804000,FFFFFF
31685,1,112,WEST MALL,,3,,800080,FFFFFF
31686,1,113,DANFORTH,,3,,808000,FFFFFF
31687,1,115,SILVER HILLS,,3,,008000,FFFFFF
31688,1,116,MORNINGSIDE,,3,,804000,FFFFFF
31689,1,117,ALNESS,,3,,008000,FFFFFF
31690,1,12,KINGSTON RD,,3,,008000,FFFFFF
31691,1,120,CALVINGTON,,3,,FF00FF,FFFFFF
31692,1,122,GRAYDON HALL,,3,,FF00FF,FFFFFF
31693,1,123,SHORNCLIFFE,,3,,008000,FFFFFF
31694,1,124,SUNNYBROOK,,3,,00FFFF,FFFFFF
31695,1,125,DREWRY,,3,,804000,FFFFFF
31696,1,126,CHRISTIE,,3,,000080,FFFFFF
31697,1,127,DAVENPORT,,3,,00FFFF,FFFFFF
31698,1,129,MCCOWAN NORTH,,3,,00FF00,FFFFFF
31699,1,130,MIDDLEFIELD,,3,,808000,FFFFFF
31700,1,131,NUGGET,,3,,800080,FFFFFF
31701,1,132,MILNER,,3,,00FFFF,FFFFFF
31702,1,133,NEILSON,,3,,804000,FFFFFF
31703,1,134,PROGRESS,,3,,808000,FFFFFF
31704,1,135,GERRARD,,3,,00FFFF,FFFFFF
31705,1,139,FINCH-DON MILLS,,3,,800080,FFFFFF
31706,1,14,GLENCAIRN,,3,,00FFFF,FFFFFF
31707,1,141,DOWNTOWN/MT PLEASANT EXPRESS,,3,,FF8000,FFFFFF
31708,1,142,DOWNTOWN/AVENUE RD EXPRESS,,3,,00FF00,FFFFFF
31709,1,143,DOWNTOWN/BEACH EXPRESS,,3,,FF00FF,FFFFFF
31710,1,144,DOWNTOWN/DON VALLEY EXPRESS,,3,,804000,FFFFFF
31711,1,145,DOWNTOWN/HUMBER BAY EXPRESS,,3,,00FFFF,FFFFFF
31712,1,15,EVANS,,3,,808000,FFFFFF
31713,1,16,MCCOWAN,,3,,FF00FF,FFFFFF
31714,1,160,BATHURST NORTH,,3,,008000,FFFFFF
31715,1,161,ROGERS RD,,3,,808000,FFFFFF
31716,1,162,LAWRENCE - DONWAY,,3,,804000,FFFFFF
31717,1,165,WESTON RD NORTH,,3,,00FFFF,FFFFFF
31718,1,167,PHARMACY NORTH,,3,,000080,FFFFFF
31719,1,168,SYMINGTON,,3,,008000,FFFFFF
31720,1,169,HUNTINGWOOD,,3,,FF8000,FFFFFF
31721,1,17,BIRCHMOUNT,,3,,808000,FFFFFF
31722,1,171,MOUNT DENNIS,,3,,FF8000,FFFFFF
32082,1,172,CHERRY STREET,,3,,008000,FFFFFF
31723,1,190,SCARBOROUGH CENTRE ROCKET,,3,,800080,FFFFFF
31724,1,191,HIGHWAY 27 ROCKET,,3,,00FFFF,FFFFFF
31725,1,192,AIRPORT ROCKET,,3,,FF0000,FFFFFF
31726,1,196,YORK UNIVERSITY ROCKET,,3,,0000FF,FFFFFF
31727,1,199,FINCH ROCKET,,3,,FF8000,FFFFFF
31728,1,1S,YONGE SUBWAY SHUTTLE,,3,,808000,FFFFFF
31729,1,20,CLIFFSIDE,,3,,FF8000,FFFFFF
31730,1,21,BRIMLEY,,3,,808000,FFFFFF
31731,1,22,COXWELL,,3,,804000,FFFFFF
31732,1,224,VICTORIA PARK NORTH,,3,,00FF00,FFFFFF
31733,1,23,DAWES,,3,,FF00FF,FFFFFF
31734,1,24,VICTORIA PARK,,3,,00FF00,FFFFFF
31735,1,25,DON MILLS,,3,,808000,FFFFFF
31736,1,26,DUPONT,,3,,00FF00,FFFFFF
31737,1,28,DAVISVILLE,,3,,008000,FFFFFF
31738,1,29,DUFFERIN,,3,,FF0000,FFFFFF
31739,1,30,LAMBTON,,3,,0000FF,FFFFFF
31740,1,300,BLOOR - DANFORTH,,3,,0000FF,FFFFFF
31741,1,301,QUEEN,,3,,0000FF,FFFFFF
31742,1,302,DANFORTH RD - MCCOWAN,,3,,0000FF,FFFFFF
31743,1,303,DON MILLS,,3,,0000FF,FFFFFF
